Year,Age,Contrast,conf.low,conf.high,p.value
slope,2 vs 1,-0.28,-0.40,-0.17,< 0.001
slope,3 vs 1,-0.44,-0.56,-0.33,< 0.001
slope,4 vs 1,-0.60,-0.72,-0.49,< 0.001
slope,5 vs 1,-0.81,-0.92,-0.69,< 0.001
slope,6 vs 1,-0.97,-1.09,-0.84,< 0.001
slope,7 vs 1,-0.93,-1.06,-0.79,< 0.001
slope,8 vs 1,-0.90,-1.06,-0.75,< 0.001
slope,3 vs 2,-0.16,-0.25,-0.06,0.001
slope,4 vs 2,-0.32,-0.42,-0.22,< 0.001
slope,5 vs 2,-0.52,-0.62,-0.42,< 0.001
slope,6 vs 2,-0.68,-0.79,-0.57,< 0.001
slope,7 vs 2,-0.64,-0.76,-0.52,< 0.001
slope,8 vs 2,-0.62,-0.77,-0.47,< 0.001
slope,4 vs 3,-0.16,-0.25,-0.07,0.001
slope,5 vs 3,-0.36,-0.46,-0.27,< 0.001
slope,6 vs 3,-0.52,-0.63,-0.42,< 0.001
slope,7 vs 3,-0.48,-0.60,-0.37,< 0.001
slope,8 vs 3,-0.46,-0.61,-0.32,< 0.001
slope,5 vs 4,-0.20,-0.30,-0.10,< 0.001
slope,6 vs 4,-0.36,-0.47,-0.26,< 0.001
slope,7 vs 4,-0.32,-0.44,-0.21,< 0.001
slope,8 vs 4,-0.30,-0.44,-0.15,< 0.001
slope,6 vs 5,-0.16,-0.27,-0.05,0.003
slope,7 vs 5,-0.12,-0.24,0.00,0.045
slope,8 vs 5,-0.10,-0.25,0.05,0.189
slope,7 vs 6,0.04,-0.08,0.16,0.530
slope,8 vs 6,0.06,-0.09,0.21,0.425
slope,8 vs 7,0.02,-0.14,0.18,0.785
