DD,Age,Weight_init,Length_init,Weight_end,Length_end,Total_Cons
3000,1,1.456071178,45.72,9.637,82.94758293,64.626
3000,2,9.637312382,82.9484304,20.767,105.657204,127.626
3000,3,20.76650189,105.6564052,33.611,122.9726051,188.788
3000,4,33.61148069,122.9731594,49.066,138.5461067,256.764
3000,5,49.06615298,138.5462428,63.746,150.4606821,312.6
3000,6,63.7461197,150.4607711,78.31,160.5424984,366.035
3000,7,78.31042166,160.5427708,91.765,168.7695737,411.729
3000,8,91.76542714,168.7698213,106.725,176.9975979,465.642
3000,9,106.7248767,176.9975334,119.361,183.3515467,503.481
3500,1,1.456071178,45.72,12.413,89.83683382,85.275
3500,2,12.4133396,89.8376085,28.362,116.5640431,181.723
3500,3,28.36193006,116.5639525,47.123,136.7928531,276.349
3500,4,47.12261631,136.792502,69.879,154.8806819,381.354
3500,5,69.8787017,154.8804735,91.468,168.5972156,468.011
3500,6,91.46763303,168.5970024,112.818,180.1222559,550.232
3500,7,112.8184732,180.1224941,132.405,189.4442717,620.121
3500,8,132.4052745,189.4443955,154.189,198.7610018,702.035
3500,9,154.1886235,198.7608488,172.359,205.8639928,759.27
4000,1,1.456071178,45.72,15.586,96.51920892,109.218
4000,2,15.58643401,96.52005605,37.229,126.9997657,247.583
4000,3,37.2293131,127.0001023,62.942,149.8599408,384.04
4000,4,62.94219628,149.8600881,94.22,170.1798613,534.873
4000,5,94.2203137,170.1800399,123.686,185.4201211,659.143
4000,6,123.6858265,185.4200391,152.617,198.1200447,775.795
4000,7,152.6170489,198.1200647,178.859,208.2800608,873.964
4000,8,178.858992,208.2800578,208.035,218.4401287,988.468
4000,9,208.0348066,218.4400646,231.943,226.0599725,1067.542
4500,1,1.456071178,45.72,19.099,102.9052924,136.013
4500,2,19.09850217,102.904447,47.186,136.8504699,324.23
4500,3,47.18594324,136.850418,80.691,162.0652886,510.146
4500,4,80.69118714,162.0654071,121.432,184.3483647,714.555
4500,5,121.4318113,184.3482744,159.421,200.8625612,882.092
4500,6,159.4213237,200.8626898,196.376,214.5050257,1037.531
4500,7,196.3755322,214.5048647,229.443,225.289125,1166.77
4500,8,229.4429447,225.2891079,266.191,236.0891457,1316.97
4500,9,266.1914179,236.0892625,295.693,244.0415897,1419.081
5000,1,1.456071178,45.72,22.882,108.9369242,165.049
5000,2,22.88207739,108.9370403,58.035,146.0746427,410.06
5000,3,58.03517621,146.0747825,100.005,173.4063199,652.006
5000,4,100.0051408,173.4063969,150.935,197.4292103,916.495
5000,5,150.9348911,197.4291654,197.896,215.0269669,1131.841
5000,6,197.8964329,215.0271152,243.13,229.4413347,1329.347
5000,7,243.1301309,229.4413737,283.043,240.7014825,1491.521
5000,8,283.0432957,240.7015617,327.388,252.0009725,1679.491
5000,9,327.3880168,252.0009765,362.242,260.1660048,1805.123
