DD,Age,Initial_W,Initial_L,End_W,End_L,Total_Cons,Cons_Rel_pval4000,Cons_Rel_4000_DD
3000,1,1.456071178,45.72,15.58640529,96.51999999,100.976,1.562467118,0.924536249
3000,2,15.58640529,96.51999999,37.22921795,127,215.341,1.687281588,0.869772965
3000,3,37.22921795,127,62.94207884,149.86,327.041,1.732318791,0.851580565
3000,4,62.94207884,149.86,94.22024364,170.18,452.105,1.760780327,0.845258305
3000,5,94.22024364,170.18,123.6857437,185.42,549.545,1.757981446,0.833726521
3000,6,123.6857437,185.42,152.6168908,198.12,642.303,1.754758425,0.82792877
3000,7,152.6168908,198.12,178.8588344,208.28,718.579,1.745271769,0.822206636
3000,8,178.8588344,208.28,208.0346113,218.44,812.677,1.745282857,0.822158959
3000,9,208.0346113,218.44,231.9430896,226.06,871.652,1.73125103,0.816504471
3500,1,1.456071178,45.72,15.58640529,96.51999999,104.469,1.225083553,0.956518156
3500,2,15.58640529,96.51999999,37.22921795,127,231.055,1.271468114,0.933242589
3500,3,37.22921795,127,62.94207884,149.86,355.142,1.28512135,0.92475263
3500,4,62.94207884,149.86,94.22024364,170.18,493.001,1.292764728,0.921717719
3500,5,94.22024364,170.18,123.6857437,185.42,603.921,1.290399157,0.916221518
3500,6,123.6857437,185.42,152.6168908,198.12,708.633,1.287880385,0.913428161
3500,7,152.6168908,198.12,178.8588344,208.28,795.889,1.283441457,0.910665657
3500,8,178.8588344,208.28,208.0346113,218.44,900.126,1.282166844,0.910628276
3500,9,208.0346113,218.44,231.9430896,226.06,969.212,1.276505064,0.907892062
4000,1,1.456071178,45.72,15.58640529,96.51999999,109.218,1,1
4000,2,15.58640529,96.51999999,37.22921795,127,247.583,1,1
4000,3,37.22921795,127,62.94207884,149.86,384.04,1,1
4000,4,62.94207884,149.86,94.22024364,170.18,534.872,0.99999813,1
4000,5,94.22024364,170.18,123.6857437,185.42,659.143,1,1
4000,6,123.6857437,185.42,152.6168908,198.12,775.795,1,1
4000,7,152.6168908,198.12,178.8588344,208.28,873.964,1,1
4000,8,178.8588344,208.28,208.0346113,218.44,988.467,0.999998988,1
4000,9,208.0346113,218.44,231.9430896,226.06,1067.541,0.999999063,1
4500,1,1.456071178,45.72,15.58640529,96.51999999,114.355,0.840765221,1.047034372
4500,2,15.58640529,96.51999999,37.22921795,127,264.059,0.814418777,1.06654738
4500,3,37.22921795,127,62.94207884,149.86,412.559,0.808707703,1.074260494
4500,4,62.94207884,149.86,94.22024364,170.18,576.108,0.806247245,1.077095081
4500,5,94.22024364,170.18,123.6857437,185.42,713.31,0.808657147,1.082177919
4500,6,123.6857437,185.42,152.6168908,198.12,841.579,0.811136246,1.084795597
4500,7,152.6168908,198.12,178.8588344,208.28,950.337,0.81450243,1.087386895
4500,8,178.8588344,208.28,208.0346113,218.44,1074.897,0.816189435,1.087438427
4500,9,208.0346113,218.44,231.9430896,226.06,1163.628,0.81998702,1.090007784
5000,1,1.456071178,45.72,15.58640529,96.51999999,119.449,0.723718411,1.093675035
5000,2,15.58640529,96.51999999,37.22921795,127,279.825,0.682400137,1.130227035
5000,3,37.22921795,127,62.94207884,149.86,439.711,0.674397168,1.144961462
5000,4,62.94207884,149.86,94.22024364,170.18,615.328,0.671392643,1.150421035
5000,5,94.22024364,170.18,123.6857437,185.42,764.724,0.675646138,1.160179202
5000,6,123.6857437,185.42,152.6168908,198.12,903.971,0.680011314,1.165218904
5000,7,152.6168908,198.12,178.8588344,208.28,1022.725,0.685692659,1.170214105
5000,8,178.8588344,208.28,208.0346113,218.44,1156.824,0.688794403,1.170321316
5000,9,208.0346113,218.44,231.9430896,226.06,1254.654,0.695051805,1.175274767
