DD,Age,Weight_init,Length_init,Weight_end,Length_end,Total_Cons
3000,1,1.5,45.7,7.1,75.4,37.6
3000,2,7.1,75.4,14.4,94.1,70.5
3000,3,14.4,94.1,25.7,113.0,123.6
3000,4,25.7,113.0,40.2,130.1,180.3
3000,5,40.2,130.1,55.1,143.7,232.1
3000,6,55.1,143.7,70.7,155.4,283.4
3000,7,70.7,155.4,85.9,165.3,330.1
3000,8,85.9,165.3,102.8,174.9,383.1
3000,9,102.8,174.9,118.1,182.7,424.9
3500,1,1.5,45.7,8.9,80.8,48.8
3500,2,8.9,80.8,19.0,102.7,98.6
3500,3,19.0,102.7,34.2,123.7,173.6
3500,4,34.2,123.7,53.6,142.4,253.9
3500,5,53.6,142.4,73.3,157.2,326.8
3500,6,73.3,157.2,93.7,169.9,398.3
3500,7,93.7,169.9,113.5,180.4,462.8
3500,8,113.5,180.4,135.4,190.8,535.7
3500,9,135.4,190.8,155.0,199.1,592.7
4000,1,1.5,45.7,10.9,86.2,62.1
4000,2,10.9,86.2,24.4,111.2,133.4
4000,3,24.4,111.2,43.5,133.4,232.9
4000,4,43.5,133.4,67.6,153.3,338.4
4000,5,67.6,153.3,91.6,168.7,433.0
4000,6,91.6,168.7,116.2,181.8,524.5
4000,7,116.2,181.8,139.6,192.6,605.9
4000,8,139.6,192.6,165.6,203.3,697.8
4000,9,165.6,203.3,188.2,211.7,768.5
4500,1,1.5,45.7,13.1,91.4,77.4
4500,2,13.1,91.4,30.5,119.3,174.8
4500,3,30.5,119.3,53.2,142.1,300.2
4500,4,53.2,142.1,81.4,162.5,430.6
4500,5,81.4,162.5,108.8,178.1,545.2
4500,6,108.8,178.1,136.3,191.2,654.2
4500,7,136.3,191.2,161.9,201.9,749.4
4500,8,161.9,201.9,190.4,212.4,856.9
4500,9,190.4,212.4,214.5,220.6,937.6
5000,1,1.5,45.7,15.6,96.5,94.7
5000,2,15.6,96.5,37.2,127.0,222.9
5000,3,37.2,127.0,62.9,149.9,373.9
5000,4,62.9,149.9,94.2,170.2,526.8
5000,5,94.2,170.2,123.7,185.4,657.8
5000,6,123.7,185.4,152.6,198.1,779.9
5000,7,152.6,198.1,178.9,208.3,884.2
5000,8,178.9,208.3,208.0,218.4,1002.3
5000,9,208.0,218.4,231.9,226.1,1088.3
5500,1,1.5,45.7,18.2,101.4,113.8
5500,2,18.2,101.4,44.4,134.3,277.4
5500,3,44.4,134.3,72.3,156.6,452.5
5500,4,72.3,156.6,105.6,176.4,623.9
5500,5,105.6,176.4,135.7,190.9,766.2
5500,6,135.7,190.9,164.5,202.9,896.0
5500,7,164.5,202.9,189.8,212.2,1003.9
5500,8,189.8,212.2,218.2,221.7,1126.6
5500,9,218.2,221.7,240.4,228.6,1212.9
6000,1,1.5,45.7,21.0,106.0,134.5
6000,2,21.0,106.0,51.9,141.0,337.5
6000,3,51.9,141.0,81.1,162.3,534.2
6000,4,81.1,162.3,115.1,181.3,718.6
6000,5,115.1,181.3,144.5,194.7,866.6
6000,6,144.5,194.7,171.8,205.7,998.0
6000,7,171.8,205.7,195.0,214.0,1103.7
6000,8,195.0,214.0,221.1,222.7,1225.3
6000,9,221.1,222.7,240.6,228.7,1307.0
6500,1,1.5,45.7,23.8,110.3,156.4
6500,2,23.8,110.4,59.5,147.2,401.9
6500,3,59.5,147.2,88.9,167.1,616.0
6500,4,88.9,167.1,122.3,184.8,806.7
6500,5,122.3,184.8,149.7,196.9,953.6
6500,6,149.7,196.9,174.4,206.6,1080.2
6500,7,174.4,206.6,194.3,213.8,1178.1
6500,8,194.3,213.8,217.4,221.5,1293.1
6500,9,217.4,221.5,233.5,226.5,1365.9
