DD,Age,Initial Weight,Initial Length,End Weight,End Length,Total Consumption
3000,1,1.5,45.7,7.1,75.4,37.6
3000,2,7.1,75.4,14.4,94.1,70.5
3000,3,14.4,94.1,25.7,113.0,123.6
3000,4,25.7,113.0,40.2,130.1,180.3
3000,5,40.2,130.1,55.1,143.7,232.1
3000,6,55.1,143.7,70.7,155.4,283.4
3000,7,70.7,155.4,85.9,165.3,330.1
3000,8,85.9,165.3,102.8,174.9,383.1
3000,9,102.8,174.9,118.1,182.7,424.9
3500,1,1.5,45.7,8.9,80.8,48.8
3500,2,8.9,80.8,19.0,102.7,98.6
3500,3,19.0,102.7,34.2,123.7,173.6
3500,4,34.2,123.7,53.6,142.4,253.9
3500,5,53.6,142.4,73.3,157.2,326.8
3500,6,73.3,157.2,93.7,169.9,398.3
3500,7,93.7,169.9,113.5,180.4,462.8
3500,8,113.5,180.4,135.4,190.8,535.7
3500,9,135.4,190.8,155.0,199.1,592.7
4000,1,1.5,45.7,10.9,86.2,62.1
4000,2,10.9,86.2,24.4,111.2,133.4
4000,3,24.4,111.2,43.5,133.4,232.9
4000,4,43.5,133.4,67.6,153.3,338.4
4000,5,67.6,153.3,91.6,168.7,433.0
4000,6,91.6,168.7,116.2,181.8,524.5
4000,7,116.2,181.8,139.6,192.6,605.9
4000,8,139.6,192.6,165.6,203.3,697.8
4000,9,165.6,203.3,188.2,211.7,768.5
4500,1,1.5,45.7,13.1,91.4,77.4
4500,2,13.1,91.4,30.5,119.3,174.8
4500,3,30.5,119.3,53.2,142.1,300.2
4500,4,53.2,142.1,81.4,162.5,430.6
4500,5,81.4,162.5,108.8,178.1,545.2
4500,6,108.8,178.1,136.3,191.2,654.2
4500,7,136.3,191.2,161.9,201.9,749.4
4500,8,161.9,201.9,190.4,212.4,856.9
4500,9,190.4,212.4,214.5,220.6,937.6
5000,1,1.5,45.7,15.6,96.5,94.7
5000,2,15.6,96.5,37.2,127.0,222.9
5000,3,37.2,127.0,62.9,149.9,373.9
5000,4,62.9,149.9,94.2,170.2,526.8
5000,5,94.2,170.2,123.7,185.4,657.8
5000,6,123.7,185.4,152.6,198.1,779.9
5000,7,152.6,198.1,178.9,208.3,884.2
5000,8,178.9,208.3,208.0,218.4,1002.3
5000,9,208.0,218.4,231.9,226.1,1088.3
5500,1,1.5,45.7,18.2,101.4,113.8
5500,2,18.2,101.4,44.4,134.3,277.4
5500,3,44.4,134.3,73.2,157.2,455.0
5500,4,73.2,157.2,107.7,177.5,631.6
5500,5,107.7,177.5,139.3,192.5,779.6
5500,6,139.3,192.5,169.7,204.8,915.2
5500,7,169.7,204.8,196.6,214.6,1028.6
5500,8,196.6,214.6,226.6,224.4,1157.4
5500,9,226.6,224.4,250.5,231.6,1248.7
6000,1,1.5,45.7,21.0,106.0,134.5
6000,2,21.0,106.0,51.9,141.0,337.5
6000,3,51.9,141.0,84.2,164.2,543.5
6000,4,84.2,164.2,122.3,184.8,746.8
6000,5,122.3,184.8,156.5,199.7,914.4
6000,6,156.5,199.7,188.9,211.9,1065.6
6000,7,188.9,211.9,217.0,221.4,1190.1
6000,8,217.0,221.4,248.5,231.0,1331.8
6000,9,248.5,231.0,272.8,237.9,1430.2
6500,1,1.5,45.7,23.8,110.3,156.4
6500,2,23.8,110.4,59.5,147.2,401.9
6500,3,59.5,147.2,95.2,170.7,636.6
6500,4,95.2,170.7,137.0,191.5,867.6
6500,5,137.0,191.5,173.7,206.4,1055.1
6500,6,173.7,206.4,208.0,218.4,1222.2
6500,7,208.0,218.4,237.2,227.7,1357.5
6500,8,237.2,227.7,270.2,237.2,1512.3
6500,9,270.2,237.2,295.0,243.9,1617.4
