OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
1,2-453,Au Train River,Alger,Point added 1-16-2004,LSE,1,-86.83610000000,46.43290000000,435603.79531000000,653788.02834000000,,,
2,34-32,Webber Impoundment,Ionia,dig 1-16-04,LMS,5,-84.90273000000,42.95287000000,589372.90990000000,267488.06279000000,,,
3,55-41,Chalk Hill Impoundment,Menominee,dig 1-16-04,LMN,5,-87.80202000000,45.51396000000,359093.10231000000,552933.73650000000,,,
4,34-58,Lowell Impoundment,Ionia,,LMN,5,-85.29227000000,43.02069000000,557533.98603000000,274667.18511000000,,,
5,55-2,Marinette Upper Dam #3,Menominee,dig 1-16-04,LMN,5,-87.66013000000,45.10765000000,369241.81948000000,507557.22784000000,,,
6,55-8,Grand Rapids Impoundme,Menominee,dig 1-16-04 USGS Map mig,LMN,5,-87.65631000000,45.36246000000,370125.36702000000,535857.65869000000,,,
7,2-1,pond,Alger,,LMN,1,-86.62343000000,46.24471000000,451778.30845000000,632728.35417000000,,,
8,2-10,Lion Lake,Alger,,LMN,1,-86.65427000000,46.24804000000,449404.41783000000,633117.79648000000,,,
9,2-100,Paquette Lake,Alger,,LMN,1,-86.80538000000,46.24721000000,437755.47430000000,633131.65063000000,,,
10,2-104,Trout Lake,Alger,,LMN,2,-86.85877000000,46.23418000000,433624.25234000000,631727.01800000000,,,
11,2-11,Hike Lake,Alger,,LMN,1,-86.65677000000,46.24499000000,449208.91825000000,632779.83212000000,,,
12,21-1,South Lake,Delta,,LMN,1,-87.22010000000,45.63388000000,404745.93443000000,565398.29866000000,,,
13,21-10,Little Sucker Lake,Delta,,LMN,1,-86.63343000000,45.67110000000,450502.73917000000,569004.49533000000,,,
14,21-100,Halfway Lake,Delta,,LMN,1,-86.47954000000,45.85582000000,462611.71383000000,589444.01071000000,,,
15,21-101,"Thirteen, Lake",Delta,,LMN,1,-86.47621000000,45.86526000000,462876.69910000000,590491.82855000000,,,
16,21-105,Moss Lake,Delta,,LMN,1,-86.65010000000,45.90276000000,449413.57726000000,594753.08760000000,,,
17,21-11,Sucker Lake,Delta,,LMN,1,-86.59328000000,45.67748000000,453634.89242000000,569689.45325000000,,,
18,21-111,Marsh Lake,Delta,,LMN,1,-86.69760000000,45.86971000000,445697.17941000000,591111.56647000000,,,
19,21-113,Boutlier Lake,Delta,,LMN,1,-86.66612000000,45.87353000000,448143.94213000000,591515.02359000000,,,
20,21-13,Little Lake,Delta,,LMN,1,-86.71033000000,45.65826000000,444500.44694000000,567628.22659000000,,,
21,21-141,Schaawe Lake,Delta,,LMN,1,-86.94030000000,45.87845000000,426871.93255000000,592275.47168000000,,,
22,21-145,"Minnewasca, Lake",Delta,,LMN,1,-87.04343000000,45.87165000000,418859.69274000000,591620.00560000000,,,
23,2-116,Saul Lake,Alger,,LMN,1,-86.82899000000,46.18749000000,435866.49552000000,626514.84936000000,,,
24,2-117,Davies Lake,Alger,,LMN,1,-86.84038000000,46.18915000000,434989.59707000000,626709.25847000000,,,
25,21-173,West Branch Lakes,Delta,,LMN,1,-86.60871000000,45.97665000000,452686.41561000000,602937.10674000000,,,
26,2-118,"Stella, Lake",Alger,,LMN,1,-86.77732000000,46.18082000000,439846.25624000000,625733.97039000000,,,
27,21-183,Bourgois Lake,Delta,,LMN,1,-86.62649000000,45.97471000000,451307.58953000000,602731.64583000000,,,
28,2-119,Bass Lake,Alger,,LMN,1,-86.76038000000,46.17165000000,441144.23008000000,624702.97742000000,,,
29,21-192,Little Lake,Delta,,LMN,1,-86.64899000000,45.93221000000,449526.29644000000,598023.67945000000,,,
30,21-195,Little Moss Lake,Delta,,LMN,1,-86.65742000000,45.92382000000,448864.80877000000,597097.48892000000,,,
31,2-12,Crow Lake,Alger,,LMN,1,-86.66257000000,46.23370000000,448751.07439000000,631529.55421000000,,,
32,21-206,Lost Lake (south),Delta,part of group of 2 lakes,LMN,1,-86.76621000000,45.98165000000,440491.41792000000,603597.54584000000,,,
33,2-121,Rielly Lake,Alger,,LMN,1,-86.85334000000,46.18666000000,433986.45088000000,626443.34168000000,,,
34,21-236,Farm Lake,Delta,,LMN,1,-86.89343000000,45.93443000000,430578.79332000000,598453.41594000000,,,
35,2-124,Stoner Lake,Alger,,LMN,1,-86.76371000000,46.16026000000,440874.84991000000,623440.05418000000,,,
36,21-242,Brampton Lake,Delta,,LMN,1,-87.02954000000,45.93332000000,420025.91132000000,598457.04014000000,,,
37,21-257,Boney Falls Basin,Delta,,LMN,1,-87.26948000000,45.98156000000,401511.24925000000,604084.43402000000,,,
38,21-260,Banana Lake,Delta,,LMN,1,-86.48997000000,46.07007000000,461947.82770000000,613252.53585000000,,,
39,21-261,Square Lake,Delta,,LMN,1,-86.50954000000,46.06804000000,460432.83855000000,613037.20800000000,,,
40,21-262,Wolf Lake,Delta,,LMN,1,-86.52010000000,46.05388000000,459606.25210000000,611468.42485000000,,,
41,21-263,Lyman Lake,Delta,,LMN,1,-86.53510000000,46.07138000000,458458.92419000000,613420.42439000000,,,
42,21-264,Camp Seven Lake,Delta,,LMN,1,-86.55260000000,46.05749000000,457094.97289000000,611886.47965000000,,,
43,21-266,Gooseneck Lake,Delta,,LMN,1,-86.54843000000,46.06832000000,457425.54309000000,613087.86779000000,,,
44,21-268,Van Winkle Lake,Delta,,LMN,1,-86.56732000000,46.05638000000,455955.34729000000,611771.01359000000,,,
45,2-127,Round Lake,Alger,,LMN,2,-86.74976000000,46.16084000000,441952.20310000000,623493.53964000000,,,
46,21-274,Back Lake,Delta,,LMN,1,-86.59538000000,46.06860000000,453795.28041000000,613144.71663000000,,,
47,21-276,Jug Lake,Delta,,LMN,1,-86.59232000000,46.04249000000,454010.12524000000,610241.89783000000,,,
48,21-277,Chicago Lake,Delta,,LMN,1,-86.61093000000,46.03665000000,452565.22275000000,609604.65907000000,,,
49,21-278,Vista Lake,Delta,,LMN,1,-86.61204000000,46.04193000000,452483.74274000000,610191.61539000000,,,
50,21-281,Fern Lake,Delta,,LMN,1,-86.53649000000,46.04082000000,458328.74696000000,610026.20386000000,,,
51,21-283,Shoe Pac Lake,Delta,,LMN,1,-86.50315000000,46.03026000000,460900.47365000000,608836.73343000000,,,
52,21-286,Remington Lake,Delta,,LMN,1,-86.61677000000,46.02554000000,452104.27068000000,608373.64410000000,,,
53,21-295,West Lake,Delta,,LMN,1,-86.51399000000,46.00915000000,460047.06044000000,606496.52275000000,,,
54,2-13,Squaw Ponds,Alger,,LMN,1,-86.67178000000,46.23652000000,448043.30398000000,631848.57760000000,,,
55,21-300,Frying Pan Lake,Delta,,LMN,1,-86.59704000000,46.00971000000,453617.59000000000,606602.83283000000,,,
56,21-31,North Lake,Delta,,LMN,1,-87.19593000000,45.64888000000,406654.35462000000,567036.28554000000,,,
57,21-314,Waco Lake,Delta,,LMN,1,-86.73788000000,46.04888000000,442754.93259000000,611045.46232000000,,,
58,21-316,Gleason Lake,Delta,,LMN,1,-86.71065000000,46.05110000000,444863.05748000000,611273.24123000000,,,
