OID_,Field1,new_key,subject_id,lakename,county,age_group,fish_count,length_max_mm,length_mean_mm,begin_date_day,begin_date_month,begin_date_year,LONG_DD,LAT_DD,OBJECTID,Join_Count,TARGET_FID,COUNTY_Nam,lagoslakei
1,1,1-1,58642612,HOWONAN,Alcona,3,3,231.139999999999986,223.520000000000010,20,October,1982,-83.782600000000002,44.594709999999999,1,1,1,Alcona County,55329
2,2,1-116,59962292,TRASK,ALCONA,2,14,152.400000000000006,127.000000000000000,16,August,1983,-83.436210000000003,44.683599999999998,2,1,2,Alcona County,39710
3,3,1-116,59962291,TRASK,ALCONA,6,2,198.120000000000005,195.580000000000013,15,May,1991,-83.436210000000003,44.683599999999998,3,1,3,Alcona County,39710
4,4,1-116,59962292,TRASK,ALCONA,1,10,99.060000000000002,88.900000000000006,16,August,1983,-83.436210000000003,44.683599999999998,4,1,4,Alcona County,39710
5,5,1-116,59962291,TRASK,ALCONA,8,4,220.979999999999990,213.360000000000014,15,May,1991,-83.436210000000003,44.683599999999998,5,1,5,Alcona County,39710
6,6,1-116,59962292,TRASK,ALCONA,3,13,162.560000000000002,149.860000000000014,16,August,1983,-83.436210000000003,44.683599999999998,6,1,6,Alcona County,39710
7,7,1-116,59962292,TRASK,ALCONA,6,4,198.120000000000005,195.580000000000013,16,August,1983,-83.436210000000003,44.683599999999998,7,1,7,Alcona County,39710
8,8,1-116,59962291,TRASK,ALCONA,7,14,203.199999999999989,200.659999999999997,15,May,1991,-83.436210000000003,44.683599999999998,8,1,8,Alcona County,39710
9,9,1-138,59962256,CROOKED,ALCONA,2,15,119.379999999999995,101.599999999999994,20,September,1961,-83.869540000000001,44.735550000000003,9,1,9,Alcona County,4143
10,10,1-138,59962252,CROOKED,ALCONA,2,13,132.080000000000013,116.840000000000003,6,July,1981,-83.869540000000001,44.735550000000003,10,1,10,Alcona County,4143
11,11,1-138,59962254,CROOKED,ALCONA,7,6,226.060000000000002,220.979999999999990,30,May,1984,-83.869540000000001,44.735550000000003,11,1,11,Alcona County,4143
12,12,1-138,59962254,CROOKED,ALCONA,8,2,246.379999999999995,243.840000000000003,30,May,1984,-83.869540000000001,44.735550000000003,12,1,12,Alcona County,4143
13,13,1-138,59962254,CROOKED,ALCONA,1,8,68.579999999999998,60.960000000000001,30,May,1984,-83.869540000000001,44.735550000000003,13,1,13,Alcona County,4143
14,14,1-138,59962253,CROOKED,ALCONA,2,4,114.299999999999997,99.060000000000002,18,October,1990,-83.869540000000001,44.735550000000003,14,1,14,Alcona County,4143
15,15,1-138,59962254,CROOKED,ALCONA,3,6,175.259999999999991,165.099999999999994,30,May,1984,-83.869540000000001,44.735550000000003,15,1,15,Alcona County,4143
16,16,1-138,59962254,CROOKED,ALCONA,5,7,223.520000000000010,210.819999999999993,30,May,1984,-83.869540000000001,44.735550000000003,16,1,16,Alcona County,4143
17,17,1-138,59962252,CROOKED,ALCONA,3,2,129.539999999999992,124.459999999999994,6,July,1981,-83.869540000000001,44.735550000000003,17,1,17,Alcona County,4143
18,18,1-138,59962254,CROOKED,ALCONA,6,4,215.900000000000006,208.280000000000001,30,May,1984,-83.869540000000001,44.735550000000003,18,1,18,Alcona County,4143
19,19,1-138,59962256,CROOKED,ALCONA,3,6,165.099999999999994,137.159999999999997,20,September,1961,-83.869540000000001,44.735550000000003,19,1,19,Alcona County,4143
20,20,1-138,59962252,CROOKED,ALCONA,1,10,76.200000000000003,66.040000000000006,6,July,1981,-83.869540000000001,44.735550000000003,20,1,20,Alcona County,4143
21,21,1-138,59962256,CROOKED,ALCONA,4,9,200.659999999999997,170.180000000000007,20,September,1961,-83.869540000000001,44.735550000000003,21,1,21,Alcona County,4143
22,22,1-138,59962254,CROOKED,ALCONA,4,14,203.199999999999989,187.960000000000008,30,May,1984,-83.869540000000001,44.735550000000003,22,1,22,Alcona County,4143
23,23,1-138,59962252,CROOKED,ALCONA,5,18,228.599999999999994,203.199999999999989,6,July,1981,-83.869540000000001,44.735550000000003,23,1,23,Alcona County,4143
24,24,1-138,59962253,CROOKED,ALCONA,3,20,154.939999999999998,132.080000000000013,18,October,1990,-83.869540000000001,44.735550000000003,24,1,24,Alcona County,4143
25,25,1-138,59962254,CROOKED,ALCONA,2,15,132.080000000000013,116.840000000000003,30,May,1984,-83.869540000000001,44.735550000000003,25,1,25,Alcona County,4143
26,26,1-138,59962252,CROOKED,ALCONA,4,20,187.960000000000008,160.020000000000010,6,July,1981,-83.869540000000001,44.735550000000003,26,1,26,Alcona County,4143
27,27,1-179,59962241,BROWNLEE,ALCONA,2,53,129.539999999999992,116.840000000000003,5,June,1962,-83.409540000000007,44.689990000000002,27,1,27,Alcona County,3540
28,28,1-179,59962243,BROWNLEE,ALCONA,1,3,88.900000000000006,73.659999999999997,16,August,1983,-83.409540000000007,44.689990000000002,28,1,28,Alcona County,3540
29,29,1-29,59962297,VAUGHN,ALCONA,7,2,233.680000000000007,223.520000000000010,17,May,1962,-83.727599999999995,44.539160000000003,29,1,29,Alcona County,2058
30,30,1-29,59962295,VAUGHN,ALCONA,6,10,226.060000000000002,213.360000000000014,16,May,1990,-83.727599999999995,44.539160000000003,30,1,30,Alcona County,2058
