"new_key","year","AGE","agriculture","area_ha","county","cpue","date","day","DD_mean","dd_year","decade","depth_m","doy","forests","lagoslakeid","LAT_DD","length_mean_mm","lmb","logarea","logcounty","logdepth","LONG_DD","mean_secchi_m","month","nhdid","perch","pike","Survey_Number","Total.Population","type","urban","walleye","wetlands"
"1-113",2004,2,NA,NA,"alcona",0,"2004-6-17","17",4037.2924515,4011.877649,2000,NA,169,NA,NA,44.60399,66.04,1,NA,9.3689667352586,NA,-83.60803,NA,"6",83976679,1,1,4587,"11719","contemporary",NA,0,NA
"1-116",1983,1,0.230769230769231,NA,"alcona",NA,"1983-8-16","16",3919.076754,4256.900834,1980,NA,228,0.615384615384615,39710,44.6836,88.9,NA,NA,9.18399639663658,NA,-83.43621,NA,"8",83976181,NA,NA,59962292,"9740","historical",0,NA,0.153846153846154
"1-116",1983,2,0.230769230769231,NA,"alcona",NA,"1983-8-16","16",4002.1652475,4256.900834,1980,NA,228,0.615384615384615,39710,44.6836,127,NA,NA,9.18399639663658,NA,-83.43621,NA,"8",83976181,NA,NA,59962292,"9740","historical",0,NA,0.153846153846154
"1-116",1983,3,0.230769230769231,NA,"alcona",NA,"1983-8-16","16",3947.44633733333,4256.900834,1980,NA,228,0.615384615384615,39710,44.6836,149.86,NA,NA,9.18399639663658,NA,-83.43621,NA,"8",83976181,NA,NA,59962292,"9740","historical",0,NA,0.153846153846154
"1-116",1983,6,0.230769230769231,NA,"alcona",NA,"1983-8-16","16",3921.813988,4256.900834,1980,NA,228,0.615384615384615,39710,44.6836,195.58,NA,NA,9.18399639663658,NA,-83.43621,NA,"8",83976181,NA,NA,59962292,"9740","historical",0,NA,0.153846153846154
"1-116",1983,7,0.230769230769231,NA,"alcona",NA,"1983-8-16","16",3906.49980614286,4256.900834,1980,NA,228,0.615384615384615,39710,44.6836,215.9,NA,NA,9.18399639663658,NA,-83.43621,NA,"8",83976181,NA,NA,59962292,"9740","historical",0,NA,0.153846153846154
"1-116",1991,6,0.230769230769231,NA,"alcona",NA,"1991-5-15","15",4218.468832,4449.137581,1990,NA,135,0.615384615384615,39710,44.6836,195.58,NA,NA,9.22473625225991,NA,-83.43621,NA,"5",83976181,NA,NA,59962291,"10145","historical",0,NA,0.153846153846154
"1-116",1991,7,0.230769230769231,NA,"alcona",NA,"1991-5-15","15",4208.03253428571,4449.137581,1990,NA,135,0.615384615384615,39710,44.6836,200.66,NA,NA,9.22473625225991,NA,-83.43621,NA,"5",83976181,NA,NA,59962291,"10145","historical",0,NA,0.153846153846154
"1-116",1991,8,0.230769230769231,NA,"alcona",NA,"1991-5-15","15",4214.14107175,4449.137581,1990,NA,135,0.615384615384615,39710,44.6836,213.36,NA,NA,9.22473625225991,NA,-83.43621,NA,"5",83976181,NA,NA,59962291,"10145","historical",0,NA,0.153846153846154
"1-138",1961,2,0,34.8232583812222,"alcona",NA,"1961-9-20","20",4223.1756215,4352.91029,1960,3.78446936604694,263,0.846153846153846,4143,44.73555,101.6,NA,3.55028550782584,8.75652500292697,1.33090568315035,-83.86954,NA,"9",113471599,NA,NA,59962256,"6352","historical",0,NA,0.153846153846154
"1-138",1961,3,0,34.8232583812222,"alcona",NA,"1961-9-20","20",4176.092355,4352.91029,1960,3.78446936604694,263,0.846153846153846,4143,44.73555,137.16,NA,3.55028550782584,8.75652500292697,1.33090568315035,-83.86954,NA,"9",113471599,NA,NA,59962256,"6352","historical",0,NA,0.153846153846154
"1-138",1961,4,0,34.8232583812222,"alcona",NA,"1961-9-20","20",4193.6998505,4352.91029,1960,3.78446936604694,263,0.846153846153846,4143,44.73555,170.18,NA,3.55028550782584,8.75652500292697,1.33090568315035,-83.86954,NA,"9",113471599,NA,NA,59962256,"6352","historical",0,NA,0.153846153846154
"1-138",1981,1,0,34.8232583812222,"alcona",NA,"1981-7-6","6",3960.059834,4268.366336,1980,3.78446936604694,187,0.846153846153846,4143,44.73555,66.04,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"7",113471599,NA,NA,59962252,"9740","historical",0,NA,0.153846153846154
"1-138",1981,2,0,34.8232583812222,"alcona",NA,"1981-7-6","6",3984.2597135,4268.366336,1980,3.78446936604694,187,0.846153846153846,4143,44.73555,116.84,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"7",113471599,NA,NA,59962252,"9740","historical",0,NA,0.153846153846154
"1-138",1981,3,0,34.8232583812222,"alcona",NA,"1981-7-6","6",4001.614399,4268.366336,1980,3.78446936604694,187,0.846153846153846,4143,44.73555,124.46,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"7",113471599,NA,NA,59962252,"9740","historical",0,NA,0.153846153846154
"1-138",1981,4,0,34.8232583812222,"alcona",NA,"1981-7-6","6",4076.5347315,4268.366336,1980,3.78446936604694,187,0.846153846153846,4143,44.73555,160.02,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"7",113471599,NA,NA,59962252,"9740","historical",0,NA,0.153846153846154
"1-138",1981,5,0,34.8232583812222,"alcona",NA,"1981-7-6","6",4063.6146572,4268.366336,1980,3.78446936604694,187,0.846153846153846,4143,44.73555,203.2,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"7",113471599,NA,NA,59962252,"9740","historical",0,NA,0.153846153846154
"1-138",1984,1,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4442.506049,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,60.96,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,2,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4281.665796,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,116.84,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,3,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4277.23264266667,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,165.1,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,4,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4197.9394405,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,187.96,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,5,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4160.043471,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,210.82,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,6,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4139.42352083333,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,208.28,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,7,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4162.548122,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,220.98,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1984,8,0,34.8232583812222,"alcona",NA,"1984-5-30","30",4143.72140175,4360.322775,1980,3.78446936604694,151,0.846153846153846,4143,44.73555,243.84,NA,3.55028550782584,9.18399639663658,1.33090568315035,-83.86954,NA,"5",113471599,NA,NA,59962254,"9740","historical",0,NA,0.153846153846154
"1-138",1990,2,0,34.8232583812222,"alcona",NA,"1990-10-18","18",4218.3279785,4629.841982,1990,3.78446936604694,291,0.846153846153846,4143,44.73555,99.06,NA,3.55028550782584,9.22473625225991,1.33090568315035,-83.86954,NA,"10",113471599,NA,NA,59962253,"10145","historical",0,NA,0.153846153846154
"1-138",1990,3,0,34.8232583812222,"alcona",NA,"1990-10-18","18",4438.73014533333,4629.841982,1990,3.78446936604694,291,0.846153846153846,4143,44.73555,132.08,NA,3.55028550782584,9.22473625225991,1.33090568315035,-83.86954,NA,"10",113471599,NA,NA,59962253,"10145","historical",0,NA,0.153846153846154
"1-138",1990,4,0,34.8232583812222,"alcona",NA,"1990-10-18","18",4432.1685975,4629.841982,1990,3.78446936604694,291,0.846153846153846,4143,44.73555,200.66,NA,3.55028550782584,9.22473625225991,1.33090568315035,-83.86954,NA,"10",113471599,NA,NA,59962253,"10145","historical",0,NA,0.153846153846154
"1-138",1990,5,0,34.8232583812222,"alcona",NA,"1990-10-18","18",4388.5187324,4629.841982,1990,3.78446936604694,291,0.846153846153846,4143,44.73555,218.44,NA,3.55028550782584,9.22473625225991,1.33090568315035,-83.86954,NA,"10",113471599,NA,NA,59962253,"10145","historical",0,NA,0.153846153846154
"1-138",2009,6,0.066468253968254,34.8232583812222,"alcona",25.2,"2009-6-10","10",4391.24880633333,3946.315804,2010,3.78446936604694,161,0.654761904761905,4143,44.73555,201.083333333333,1,3.55028550782584,9.30036387462377,1.33090568315035,-83.86954,NA,"6",113471599,1,1,7942,"10942","contemporary",0.224206349206349,1,0.0545634920634921
"1-138",2009,7,0.066468253968254,34.8232583812222,"alcona",25.2,"2009-6-10","10",4416.50123071429,3946.315804,2010,3.78446936604694,161,0.654761904761905,4143,44.73555,228.6,1,3.55028550782584,9.30036387462377,1.33090568315035,-83.86954,NA,"6",113471599,1,1,7942,"10942","contemporary",0.224206349206349,1,0.0545634920634921
"1-138",2009,7,0.066468253968254,34.8232583812222,"alcona",25.2,"2009-6-11","11",4416.50123071429,3946.315804,2010,3.78446936604694,162,0.654761904761905,4143,44.73555,228.6,1,3.55028550782584,9.30036387462377,1.33090568315035,-83.86954,NA,"6",113471599,1,1,7942,"10942","contemporary",0.224206349206349,1,0.0545634920634921
