UNIQUE_ID,NEW_KEY,IHDLKID
416,,116542319
411,42-140,116542387
459,,116542447
480,,116542485
484,,-99
487,,-99
548,,116542507
714,,116542617
717,,116542617
719,,116542617
721,,-99
358,,116542237
344,,116542251
376,,116542259
393,,116542377
461,,116542459
705,,116542615
710,,-99
453,,116542453
471,,116542481
626,,-99
650,,116542565
653,,-99
658,,-99
670,,-99
680,,-99
700,,-99
70672,55-8,75476059
373,,116542303
422,,116542379
455,,116542441
637,,-99
654,,116542567
378,42-61,116542253
408,,116542339
383,,116542347
431,,116542355
554,,-99
559,,-99
564,,-99
569,,-99
573,,-99
576,,-99
578,,-99
580,,-99
587,,116542545
589,,-99
593,,-99
597,,-99
601,,-99
602,,-99
603,,-99
350,,116542231
368,,116542241
380,42-127,116542333
405,,116542389
475,,116542477
532,,116542511
399,,116542307
417,,116542349
473,,116542483
505,,-99
527,,-99
543,,116542515
552,,-99
553,,-99
570,,-99
571,,-99
414,,116542371
508,,-99
509,,-99
511,,-99
512,,-99
513,,-99
514,,-99
515,,-99
516,,-99
517,,-99
519,,-99
520,,-99
521,,-99
522,,-99
523,,-99
528,,-99
539,,116542523
591,,-99
592,,-99
595,,-99
608,,-99
609,,116542553
610,,116542553
741,,-99
772,,116542633
776,,-99
777,,-99
779,,-99
341,42-148,116542221
352,42-120,116542281
372,,116542293
426,42-141,116542397
448,,116542427
466,,116542457
784,31-1181,116542621
574,42-12,116542521
555,,-99
556,,-99
558,,-99
561,,-99
563,,-99
567,,116542539
802,,-99
804,,-99
805,,-99
806,,-99
807,,-99
808,,-99
810,,-99
812,,-99
813,,-99
815,,-99
816,,-99
818,,116542651
819,,-99
824,,-99
430,,116542351
427,,116542405
479,,116542489
391,,116542313
582,,116542529
367,,116542247
355,,116542295
396,42-90,116542323
407,,116542391
638,,-99
645,,-99
647,,-99
665,,116542599
792,,-99
795,,-99
796,,-99
797,,-99
800,,-99
811,31-1117,116542645
335,,116542227
424,,116542369
340,42-151.1,116542225
369,,116542249
365,42-89,116542283
370,42-88,116542291
390,,116542367
456,,116542437
70668,2-453,-99
375,,116542335
460,,116542451
605,,116542543
611,,-99
379,,116542285
524,,-99
537,,116542505
586,42-32,116542533
590,,116542535
616,,-99
568,,-99
575,31-1261,116542557
598,,-99
599,,-99
606,,-99
745,,116542593
579,,-99
585,,-99
594,,-99
612,31-1178,116542605
671,,-99
697,,-99
707,,-99
712,,-99
723,,-99
736,,-99
760,,-99
766,,-99
769,,-99
774,,-99
775,,-99
790,,-99
496,31-1243,116542503
499,,-99
503,,-99
504,,-99
663,,-99
682,,-99
684,,-99
685,,-99
692,,-99
698,,-99
715,,116542579
732,,-99
737,,-99
738,,-99
744,,-99
750,,-99
662,,-99
676,,-99
677,,116542583
688,,-99
348,,116542275
413,,116542375
470,,116542473
534,,116542517
536,,-99
336,42-147,116542213
394,42-126,116542345
429,,116542381
404,,116542385
445,,116542425
625,,-99
649,,-99
656,,-99
659,,-99
667,,-99
672,,-99
674,,-99
675,,-99
678,31-1164,116542581
691,,-99
694,,-99
696,,-99
702,,-99
724,,116542611
820,,-99
349,42-100,116542273
449,42-34,116542423
452,42-40,116542439
490,31-1278,116542497
549,,116542509
562,,-99
572,,-99
577,,116542547
620,,-99
630,,-99
631,,-99
632,,-99
633,,-99
634,,-99
642,,116542573
646,,-99
371,42-103,116542305
443,42-46,116542435
540,,116542525
547,,-99
695,,116542607
793,,116542623
722,,116542619
742,,-99
743,,-99
749,,116542625
767,,-99
770,,-99
713,,116542601
731,,-99
735,,-99
739,,-99
740,,-99
755,,-99
768,,-99
428,,116542337
385,,116542353
454,,116542429
825,,116542647
332,42-149,116542211
382,42-71,116542277
450,,116542433
472,42-18,116542475
530,31-1256,116542531
531,,-99
533,,-99
550,,-99
70158,31-1279,-99
377,,116542257
360,,116542287
401,,116542343
398,42-128,116542363
423,,116542393
462,,116542465
425,,116542395
387,42-91,116542311
497,,-99
498,,116542499
501,,-99
510,,-99
518,,-99
381,,116542269
464,,116542455
541,,-99
542,,-99
544,,116542527
545,,-99
785,,116542629
386,,116542357
418,,116542325
420,,116542399
468,,116542471
476,,-99
588,,-99
640,,-99
644,,116542571
397,,116542383
809,,116542637
817,,-99
347,,116542267
356,,116542297
432,,116542359
457,,116542445
500,,-99
506,,-99
525,,-99
529,,116542519
535,,-99
622,,-99
628,,-99
648,31-1161,116542555
669,,-99
364,,116542235
458,,116542449
465,42-50,116542463
581,,-99
583,,-99
584,,-99
600,,116542537
604,,116542559
607,,-99
613,,-99
615,,-99
617,,-99
618,,-99
635,,-99
686,,-99
701,,-99
748,,116542627
751,,-99
778,,-99
780,,-99
783,,-99
402,,116542329
438,,116542419
469,,116542461
495,,116542493
689,31-1275,116542591
706,,-99
708,,-99
711,,-99
733,,-99
747,,-99
334,,116542219
343,,116542243
392,42-72,116542299
415,42-77,116542331
410,,116542365
729,31-1222,116542631
765,,-99
787,,-99
789,,-99
400,42-73,116542309
406,,116542373
437,,116542413
666,,116542561
436,,116542411
447,,116542431
734,31-1172,116542589
771,,-99
361,42-105,116542289
345,,116542255
557,,-99
560,,-99
565,,116542541
566,,-99
21263,22-6,75473899
463,,116542467
478,,116542487
482,,-99
483,,-99
730,,116542585
687,,-99
693,,116542603
720,,-99
727,,116542613
753,,-99
754,,-99
799,,-99
803,,-99
814,31-1111,116542639
657,,-99
683,,116542569
718,,-99
433,,116542401
636,,-99
664,31-1183,116542587
690,,-99
374,,116542263
357,,116542301
446,,116542421
494,,116542491
660,,-99
681,,116542595
699,,-99
703,,-99
709,,-99
762,,-99
763,,-99
764,,-99
25953,1-197,-99
794,,-99
801,,-99
823,,-99
474,,116542479
333,,116542217
451,,116542443
596,31-993,116542669
756,,-99
791,,-99
798,,-99
346,,116542261
781,,-99
786,,116542609
412,42-76,116542317
389,,116542361
493,,-99
502,,-99
507,,-99
526,,-99
538,,-99
546,,116542513
551,,-99
395,42-62,116542271
409,42-59,-99
421,,116542341
477,,-99
481,,-99
485,,116542495
486,,-99
488,,-99
489,,-99
491,,-99
492,,-99
821,,116542641
822,,-99
354,42-87,116542265
435,,116542409
467,,116542469
38585,9-2,-99
44426,70-158,-99
70639,41-181.1,-99
70532,80-253,-99
4,,114548719
8,,114548737
14,,114548743
15,,114548753
32,,114548769
29,,114548777
52,,114548799
71,,114548829
69,42-315,114548837
104,,114548879
109,,114548885
111,,114548909
135,,114548919
142,,114548935
137,,114548951
136,,114548957
150,,114548963
177,,114548985
145,,114548987
156,,114549003
166,,114549015
200,,114549021
197,,114549027
203,,114549035
209,42-185,114549041
201,,114549061
210,,114549067
211,,114549075
205,,114549091
237,,114549097
245,,114549133
233,,114549145
270,42-249,114549151
299,,114549197
295,,114549199
321,42-158,114549241
328,,114549255
6,42-287,114548723
24,,114548761
47,,114548793
39,,114548811
56,,114548825
72,,114548835
58,42-305,114548839
73,,114548851
83,,114548853
90,42-320,114548859
93,42-319,114548865
120,,114548911
125,,114548937
126,,114548939
161,,114548955
183,,114548979
188,,114549025
207,42-188,114549033
206,,114549047
204,,114549049
175,42-200,114549051
185,,114549053
223,,114549063
212,,114549069
214,,114549077
217,42-223,114549083
228,,114549085
225,,114549105
241,,114549115
266,42-244,114549147
292,,114549173
269,42-276,114549179
291,,114549185
289,,114549187
293,,114549203
313,,114549221
320,42-156,114549239
