Water_Body_Key,Survey_Number,Collection_Date,Survey_Purpose,SP,LENGTH_IN,AGE,METHOD,Water_Body_Name,New_Key
10966,3321,5/16/02,Status & Trends,BLG,2.5,1,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.7,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.3,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.4,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.4,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.5,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.5,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.8,1,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.1,1,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,1.3,1,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.3,2,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.6,2,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.7,2,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.7,2,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.8,2,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.8,2,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,2.9,2,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.9,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.7,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.4,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.8,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.7,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.9,3,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,4.9,3,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,3.6,3,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,4.3,3,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.9,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.9,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,5.5,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.9,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.9,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.8,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.8,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.6,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.5,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.5,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.2,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,6.2,4,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,4.4,4,SCALE,Green Lake,81-46
10966,3321,5/16/02,Status & Trends,BLG,4.9,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.2,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.3,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.1,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.1,4,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.5,5,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.5,5,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.5,6,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.2,6,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.2,6,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.7,7,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8,7,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.1,7,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8,8,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.2,8,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.8,9,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8,9,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.1,9,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.5,10,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,7.8,10,SCALE,Green Lake,81-46
10966,3321,5/15/02,Status & Trends,BLG,8.1,10,SCALE,Green Lake,81-46
05S02E1002,3326,5/9/02,Status & Trends,BLG,3.8,3,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.9,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.3,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.6,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.3,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/9/02,Status & Trends,BLG,5.1,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/9/02,Status & Trends,BLG,4.5,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/9/02,Status & Trends,BLG,4.9,4,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.5,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.3,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.8,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.7,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/9/02,Status & Trends,BLG,5.5,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/9/02,Status & Trends,BLG,5.5,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.3,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.8,5,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.4,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.2,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,8.2,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.3,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.2,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.8,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.6,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.3,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/9/02,Status & Trends,BLG,5.6,6,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,8.3,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.3,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,5.7,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.1,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.8,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.6,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,6.5,7,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7.3,8,SCALE,Killarney Lake,46-77
05S02E1002,3326,5/8/02,Status & Trends,BLG,7,8,SCALE,Killarney Lake,46-77
